Country,Price Index,month,C1_School closing_org,C2_Workplace closing_org,C3_Cancel public events_org,C4_Restrictions on gatherings_org,C5_Close public transport_org,C6_Stay at home requirements_org,C7_Restrictions on internal movement_org,C8_International travel controls_org,ConfirmedCases_org,ConfirmedDeaths_org,StringencyIndex_org,log_cases_org,log_death_org,CountryName,C1_School closing_dst,C2_Workplace closing_dst,C3_Cancel public events_dst,C4_Restrictions on gatherings_dst,C5_Close public transport_dst,C6_Stay at home requirements_dst,C7_Restrictions on internal movement_dst,C8_International travel controls_dst,ConfirmedCases_dst,ConfirmedDeaths_dst,StringencyIndex_dst,log_cases_dst,log_death_dst,date
Mexico,122.3,2021-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96508398.0,7738176.0,2069.910000000001,18.385140598791207,15.861676688108668,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2296647899.0,38414750.0,54938.49999999948,21.554716462007782,17.463952084419834,20
Mexico,122.0,2021-09-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,105987673.0,8084319.0,1280.1000000000004,18.47883336229608,15.905436941086384,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2494555827.0,39871067.0,50617.4399999997,21.637376525451888,17.50116150605671,21
Mexico,124.7,2021-10-01,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,116125639.0,8795166.0,1205.59,18.57018326638557,15.989712924034922,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2779251187.0,44658385.0,51515.389999999694,21.745447371531355,17.614552664000882,22
Mexico,125.1,2021-11-01,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,115423235.0,8738796.0,1159.3,18.564116243589478,15.983283095137454,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2833058554.0,45653885.0,52336.98000000027,21.764622726483417,17.636599287340623,23
Mexico,121.7,2021-12-01,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,121716455.0,9209812.0,1057.5300000000009,18.617204766565223,16.035780104007987,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3148951317.0,49655061.0,54306.37000000021,21.870335319434844,17.720610896934264,24
Mexico,125.5,2022-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,136340255.0,9359085.0,1353.7299999999996,18.730664201555943,16.051858194113095,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4073100985.0,52802767.0,55409.66,22.12767045931465,17.78207417154481,25
Mexico,130.8,2022-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,148162862.0,8764934.0,1195.4000000000003,18.813822652379542,15.986269660451446,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4339352063.0,51501354.0,49058.19000000012,22.19099087990405,17.757118675967455,26
Mexico,135.9,2022-03-01,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,173819210.0,9957814.0,958.45,18.973526299784822,16.113868227983975,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4919809186.0,59838975.0,48333.6399999999,22.316535583568463,17.907167779184615,27
China,97.3,2019-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
China,97.1,2020-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75794.0,1778.0,19649.21000000005,11.23578760639412,7.483806687665835,United States,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,82.0,10.0,978.4399999999956,4.418840607796598,2.3978952727983707,1
China,96.2,2020-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3263070.0,92760.0,71325.47999999992,14.998179334456108,11.4377815718202,United States,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,822.0,31.0,5434.350000000011,6.71295620067707,3.4657359027997265,2
China,94.2,2020-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5015237.0,196766.0,69672.81999999985,15.427991435879214,12.189775566613108,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2239877.0,52060.0,69997.39000000036,14.621931958062277,10.86017138696953,3
China,91.8,2020-04-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5008928.0,236340.0,61910.070000000094,15.42673267775337,12.373030956376406,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,39637247.0,2137344.0,123071.36000000032,17.495279840192637,14.575074962543855,4
China,92.7,2020-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5237624.0,287278.0,58794.73000000015,15.471378709276182,12.568209147969371,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,90544685.0,5594808.0,117517.9099999998,18.321354054762672,15.537349761522584,5
China,95.5,2020-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5098089.0,278040.0,53385.67999999992,15.444376517744322,12.53552386381276,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,129591407.0,7131398.0,100569.68000000062,18.67989704338845,15.78001798632692,6
China,96.8,2020-07-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5304449.0,287308.0,53555.490000000136,15.484056648877948,12.56831357061665,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,222051618.0,8634642.0,99146.72000000102,19.21842043082645,15.971292925338249,7
China,97.8,2020-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5385768.0,287308.0,51465.51000000014,15.499270662462516,12.56831357061665,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,332675398.0,10487122.0,98345.61000000066,19.622677794762115,16.165658681554856,8
China,96.6,2020-09-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5254926.0,278040.0,46992.330000000045,15.474676670664826,12.53552386381276,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,398563926.0,11686008.0,88863.64000000032,19.8033784624003,16.27390287224854,9
China,97.3,2020-10-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5477123.0,287308.0,43903.97999999996,15.516090703641034,12.56831357061665,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,501452077.0,13476803.0,88958.51000000024,20.03301860347236,16.416480543349557,10
China,99.1,2020-11-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5365960.0,278040.0,45759.93999999986,15.495586041957694,12.53552386381276,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,674929008.0,14877546.0,88502.72000000032,20.33011807145401,16.515363721629072,11
China,100.7,2020-12-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5581133.0,287308.0,48858.19999999992,15.53490253951638,12.56831357061665,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1053717759.0,19182641.0,95094.2400000006,20.77559047132,16.769516365587034,12
China,101.0,2021-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5695819.0,287360.0,54023.340000000055,15.555243130451029,12.568494544045372,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1464550441.0,24653083.0,94427.58000000076,21.10481416679357,17.02041256218904,13
China,102.0,2021-02-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5248992.0,259616.0,48237.4399999999,15.473546806646198,12.466962747030095,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1550635716.0,27010059.0,82579.19,21.161930823793146,17.111719947165813,14
China,105.7,2021-03-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5838661.0,287432.0,47413.5999999998,15.580012218965756,12.56874506858243,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1835738875.0,32965325.0,86379.16999999993,21.330712894628988,17.310966839757143,15
China,106.4,2021-04-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5686300.0,278160.0,44248.76999999967,15.553570506830306,12.535955361728488,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1891368494.0,33584221.0,75822.20000000011,21.360566475433288,17.32956693131132,16
China,108.2,2021-05-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5914508.0,287432.0,44537.12999999986,15.592919042650768,12.56874506858243,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2042243457.0,35988314.0,71435.86999999962,21.437314774851465,17.398704860398478,17
China,109.1,2021-06-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5775765.0,278160.0,43281.919999999714,15.569181446268772,12.535955361728488,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2011296808.0,35700717.0,61062.77999999989,21.42204552958612,17.390681358592442,18
China,109.6,2021-07-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6033604.0,287435.0,44414.02999999993,15.61285523417854,12.568755505742896,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2118195381.0,37411588.0,58447.63999999956,21.473830328218508,17.437491080696272,19
China,110.1,2021-08-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6174656.0,287432.0,55957.12000000037,15.635963892376845,12.56874506858243,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2296647899.0,38414750.0,54938.49999999948,21.554716462007782,17.463952084419834,20
China,109.7,2021-09-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6064329.0,278160.0,48283.3600000001,15.617934624348722,12.535955361728488,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2494555827.0,39871067.0,50617.4399999997,21.637376525451888,17.50116150605671,21
China,110.6,2021-10-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6345485.0,287432.0,50485.4900000001,15.663254251942002,12.56874506858243,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2779251187.0,44658385.0,51515.389999999694,21.745447371531355,17.614552664000882,22
China,111.8,2021-11-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6254085.0,278160.0,55239.51000000002,15.648745568104609,12.535955361728488,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2833058554.0,45653885.0,52336.98000000027,21.764622726483417,17.636599287340623,23
China,110.7,2021-12-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6604895.0,287432.0,55516.24000000014,15.703321750167362,12.56874506858243,United States,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3148951317.0,49655061.0,54306.37000000021,21.870335319434844,17.720610896934264,24
